"SecurityTermWeekYear","SecurityTermDayMonth","SecurityType","CUSIP","AnnouncementDate","AuctionDate","IssueDate","MaturityDate","OfferingAmount","CompetitiveTenderAccepted","NonCompetitiveTenderAccepted","TreasuryDirectTenderAccepted","TypeOfAuction","CompetitiveClosingTime","NonCompetitiveClosingTime","NetLongPositionReport","MaxAward","MaxSingleBid","CompetitiveBidDecimals","CompetitiveBidIncrement","AllocationPercentageDecimals","MinBidAmount","MultiplesToBid","MinToIssue","MultiplesToIssue","MatureSecurityAmount","CurrentlyOutstanding","SOMAIncluded","SOMAHoldings","MaturingDate","FIMAIncluded","Series","InterestRate","Spread","FirstInterestPaymentDate","StandardInterestPayment","FrequencyInterestPayment","StrippableIndicator","MinStripAmount","CorpusCUSIP","TINTCUSIP1","TINTCUSIP2","ReOpeningIndicator","OriginalIssueDate","BackDated","BackDatedDate","LongShortNormalCoupon","LongShortCouponFirstIntPmt","InflationIndexSecurity","FloatingRate","RefCPIIssueDate","RefCPIDatedDate","IndexRatioOnIssueDate","CPIBasePeriod","TIINConversionFactor","AccruedInterest","DatedDate","AnnouncedCUSIP","UnadjustedPrice","UnadjustedAccruedInterest","AnnouncementPDFName","OriginalDatedDate","AdjustedAmountCurrentlyOutstanding","NLPExclusionAmount","MaximumNonCompAward","AdjustedAccruedInterest","Callable","CallDate","PrimaryDealerTendered","PrimaryDealerAccepted","DirectBidderTendered","DirectBidderAccepted","IndirectBidderTendered","IndirectBidderAccepted","CompetitiveTendered","CompetitiveAccepted","NonCompetitiveAccepted","SOMATendered","SOMAAccepted","FIMATendered","FIMAAccepted","TotalTendered","TotalAccepted","BidToCoverRatio","ReleaseTime","AmountAcceptedBelowLowRate","HighAllocationPercentage","LowDiscountRate","HighDiscountRate","MedianDiscountRate","LowYield","HighYield","MedianYield","LowDiscountMargin","HighDiscountMargin","MedianDiscountMargin","LowPrice","HighPrice","MedianPrice","OriginalCUSIP","TreasuryDirectAccepted","InvestmentRate","AdjustedPrice","IndexRatio","FRNIndexDeterminationDate","FRNIndexDeterminationRate","ResultsPDFName","AllTenderAccepted","ScheduledPurchasesInTD"
"2-YEAR","0-MONTH","NOTE","9128283N8","2017-12-21","2017-12-26","2018-01-02","2019-12-31","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","73948000000.0","","N","17504000000.0","2017-12-31","Y","BL-2019","1.875","","2018-06-30","9.375","SEMI-ANNUAL","Y","100","9128204B0","","","N","","Y","2017-12-31","N","","N","N","","","","","","0.10359","2017-12-31","","","","A_20171221_2.pdf","","","0.0","5000000.0","","N","","49270000000","11703600000","4587165000","3740265000","11264565000","10283965000","65121730000","25727830000","172196700","3398793000","3398793000","100000000","100000000","68792719700","29398819700","2.52","13:02","5","82.48","","","","1.800","1.922","1.900","","","","","99.908366","","","98595700","","","","","","R_20171226_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","9128283H1","2017-11-22","2017-11-27","2017-11-30","2019-11-30","26.0","Y","Y","Y","SINGLE PRICE","11:30","11:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","83274000000.0","","N","7869000000.0","2017-11-30","Y","BK-2019","1.750","","2018-05-31","8.750","SEMI-ANNUAL","Y","100","9128203X3","","","N","","N","","N","","N","N","","","","","","","2017-11-30","","","","A_20171122_1.pdf","","","0.0","5000000.0","","N","","51688000000","10571886000","6115000000","4365000000","12741540000","10750879500","70544540000","25687765500","212308700","1410880300","1410880300","100000000","100000000","72267729000","27410954500","2.73","11:32","5","97.93","","","","1.650","1.765","1.750","","","","","99.970650","","","122930700","","","","","","R_20171127_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828F62","2017-10-19","2017-10-24","2017-10-31","2019-10-31","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","122888000000.0","","N","8701000000.0","2017-10-31","Y","AE-2019","1.500","","2018-04-30","7.500","SEMI-ANNUAL","Y","100","912820R25","","","Y","2014-10-31","N","","N","","N","N","","","","","","","2017-10-31","9128283A6","","","A_20171019_2.pdf","2014-10-31","","0.0","5000000.0","","N","","51637000000","9714935000","5864000000","3645625000","13516800000","12410050000","71017800000","25770610000","129470200","650356100","650356100","100000000","100000000","71897626300","26650436300","2.74","13:04","5","82.65","","","","1.480","1.596","1.550","","","","","99.811770","","9128283A6","56300200","","","","","","R_20171024_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","9128282X7","2017-09-21","2017-09-26","2017-10-02","2019-09-30","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","79967000000.0","","N","10947000000.0","2017-09-30","Y","BG-2019","1.375","","2018-03-31","6.875","SEMI-ANNUAL","Y","100","9128203N5","","","N","","Y","2017-09-30","N","","N","N","","","","","","0.07555","2017-09-30","","","","A_20170921_2.pdf","","","0.0","5000000.0","","N","","52429000000","9490800000","8172000000","4907600000","14050800000","11383200000","74651800000","25781600000","118659600","3234231900","3234231900","100000000","100000000","78104691500","29234491500","2.88","13:02","5","45.60","","","","1.345","1.462","1.439","","","","","99.829541","","","36235600","","","","","","R_20170926_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","9128282T6","2017-08-24","2017-08-28","2017-08-31","2019-08-31","26.0","Y","Y","Y","SINGLE PRICE","11:30","11:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","87508000000.0","","N","3197000000.0","2017-08-31","Y","BF-2019","1.250","","2018-02-28","6.250","SEMI-ANNUAL","Y","100","9128203J4","","","N","","N","","N","","N","N","","","","","","","2017-08-31","","","","A_20170824_1.pdf","","","0.0","5000000.0","","N","","48263000000","10738140000","4740000000","3240000000","21051275000","11810500000","74054275000","25788640000","111428700","814931100","814931100","100000000","100000000","75080634800","26814999800","2.86","11:31","5","1.69","","","","1.188","1.345","1.300","","","","","99.813152","","","47952700","","","","","","R_20170828_1.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","9128282K5","2017-07-20","2017-07-25","2017-07-31","2019-07-31","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","120158000000.0","","N","11794000000.0","2017-07-31","Y","BD-2019","1.375","","2018-01-31","6.875","SEMI-ANNUAL","Y","100","9128207Q4","","","N","","N","","N","","N","N","","","","","","","2017-07-31","","","","A_20170720_4.pdf","","","0.0","5000000.0","","N","","51183000000","6335781500","6244000000","4347150000","21773805000","15033805000","79200805000","25716736500","183283900","2643540300","2643540300","100000000","100000000","82127629200","28643560700","3.06","13:01","5","78.21","","","","1.188","1.395","1.340","","","","","99.960688","","","105184900","","","","","","R_20170725_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828XV7","2017-06-22","2017-06-26","2017-06-30","2019-06-30","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","79364000000.0","","N","12885000000.0","2017-06-30","Y","BC-2019","1.250","","2017-12-31","6.250","SEMI-ANNUAL","Y","100","9128207K7","","","N","","N","","N","","N","N","","","","","","","2017-06-30","","","","A_20170622_4.pdf","","","0.0","5000000.0","","N","","50612000000","6440040000","7220000000","4720000000","20696404900","14563804900","78528404900","25723844900","176234400","3160424300","3160424300","100000000","100000000","81965063600","29160503600","3.03","13:01","5","14.88","","","","1.188","1.348","1.300","","","","","99.807259","","","77825400","","","","","","R_20170626_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828XS4","2017-05-18","2017-05-23","2017-05-31","2019-05-31","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","80756000000.0","","N","11910000000.0","2017-05-31","Y","BB-2019","1.250","","2017-11-30","6.250","SEMI-ANNUAL","Y","100","9128207F8","","","N","","N","","N","","N","N","","","","","","","2017-05-31","","","","A_20170518_5.pdf","","","0.0","5000000.0","","N","","50850400000","7848100000","7217000000","3197000000","17204335000","14731362000","75271735000","25776462000","123580600","3127905400","3127905400","100000000","100000000","78623221000","29127948000","2.90","13:01","5","49.14","","","","0.888","1.316","1.260","","","","","99.870143","","","36521600","","","","","","R_20170523_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828ST8","2017-04-20","2017-04-25","2017-05-01","2019-04-30","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","121706000000.0","","N","14058000000.0","2017-04-30","Y","K-2019","1.250","","2017-10-31","6.250","SEMI-ANNUAL","Y","100","912820D87","","","Y","2012-04-30","Y","2017-04-30","N","","N","N","","","","","","0.03397","2017-04-30","912828X62","","","A_20170420_5.pdf","2012-04-30","","0.0","5000000.0","","N","","52858000000","7629348000","4711000000","2941000000","16332755000","15159755000","73901755000","25730103000","169962300","3548611100","3548611100","100000000","100000000","77720328400","29548676400","2.85","13:02","5","4.61","","","","0.888","1.280","1.220","","","","","99.941005","","912828X62","96863300","","","","","","R_20170425_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828W97","2017-03-23","2017-03-27","2017-03-31","2019-03-31","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","81354000000.0","","N","13559000000.0","2017-03-31","Y","AY-2019","1.250","","2017-09-30","6.250","SEMI-ANNUAL","Y","100","9128206U6","","","N","","N","","N","","N","N","","","","","","","2017-03-31","","","","A_20170323_3.pdf","","","0.0","5000000.0","","N","","52185000000","9174612500","4268000000","2768000000","14164400000","13785400000","70617400000","25728012500","165320800","3147708100","3147708100","106700000","106700000","74037128900","29147741400","2.73","","5","85.23","","","","1.140","1.261","1.200","","","","","99.978342","","","98718800","","","","","","R_20170327_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828W30","2017-02-16","2017-02-21","2017-02-28","2019-02-28","26.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","9100000000.0","9100000000","9100000000","3","0.001","2","100","100","100","100","81108000000.0","","N","13175000000.0","2017-02-28","Y","AX-2019","1.125","","2017-08-31","5.625","SEMI-ANNUAL","Y","100","9128206Q5","","","N","","N","","N","","N","N","","","","","","","2017-02-28","","","","A_20170216_2.pdf","","","0.0","5000000.0","","N","","53188000000","7784400000","6415000000","5190000000","13533900000","12863740000","73136900000","25838140000","161871500","3605863300","3605863300","0","0","76904634800","29605874800","2.82","","5","9.92","","","","0.888","1.230","1.190","","","","","99.793189","","","90173500","","","","","","R_20170221_3.pdf",NA,NA
